id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10803,"Room in Deco Apartment, Brunswick East",38901,Lindsay,,Moreland,-37.76606,144.97951,Private room,55,4,199,2025-02-10,1.35,1,327,15,
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,,3,42,2020-03-15,0.24,10,0,0,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69761,145.00066,Private room,,7,157,2018-08-22,0.90,2,0,0,
43429,Tranquil Javanese Studio and Pond!,189684,Allan,,Monash,-37.89983,145.11579,Entire home/apt,139,2,265,2025-01-09,1.53,3,293,10,
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14768,145.14364,Private room,79,5,63,2025-01-05,0.37,8,166,6,
47100,"Cosy, cute comfortable little home in top location",212071,Loren,,Yarra,-37.8183708190918,145.0050048828125,Entire home/apt,,4,180,2025-01-08,1.02,1,0,1,
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81266,144.96313,Entire home/apt,252,2,484,2025-02-02,2.83,1,163,52,
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,,3,70,2020-03-14,0.41,10,0,0,
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.80347,145.03583,Private room,70,2,260,2025-02-11,1.52,1,352,23,
1057401,Modern Bayside Studio Apartment,5824112,Fiona,,Kingston,-37.99633,145.09455,Entire home/apt,90,7,85,2025-02-24,0.60,1,292,9,
1061196,Beautiful Fitzroy Getaway,1701103,Joanne,,Yarra,-37.80087,144.98193,Entire home/apt,,3,122,2025-02-08,0.85,1,222,17,
1061439,Queen room w/private shower 10minsCBD tram@door,5843865,Dianne,,Melbourne,-37.79784,144.9455,Private room,85,21,83,2025-01-30,0.58,2,152,6,
1064493,Stylish St Kilda Studio (Brand New),2708837,Jack,,Port Phillip,-37.86723,144.97738,Entire home/apt,,1,172,2017-05-30,1.20,1,0,0,
1077126,Private room in Melbourne Northeast,5927414,Armita,,Banyule,-37.70587,145.10249,Private room,68,1,45,2025-01-27,0.37,1,362,1,
1098759,Glenmore Homestyle Accommodation,198153828,Lucy,,Whitehorse,-37.83921,145.17795,Entire home/apt,99,2,173,2025-01-27,1.22,1,291,28,
1107707,Beaumaris House private pool & Pet friendly,5869866,Claire,,Bayside,-37.97165,145.04875,Entire home/apt,359,14,7,2024-03-09,0.06,2,80,1,
1119442,Sophisticated Boutique Apartment,6140418,Sebastian,,Yarra,-37.80313,144.98553,Entire home/apt,182,2,150,2025-02-16,4.49,1,342,48,
